latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
40.808434,-74.0199,40.0,-14400,America/New_York,GMT-4

time,weather_code (wmo code),temperature_2m (°C),relative_humidity_2m (%),cloudcover (%),rain (mm),sunshine_duration (s),windspeed_10m (km/h)
2025-09-01T00:00,3,19.1,66,100,0.00,0.00,2.3
2025-09-01T01:00,3,19.0,70,100,0.00,0.00,0.5
2025-09-01T02:00,3,18.6,71,100,0.00,0.00,0.4
2025-09-01T03:00,3,18.2,71,100,0.00,0.00,1.2
2025-09-01T04:00,3,18.0,70,95,0.00,0.00,4.3
2025-09-01T05:00,2,17.4,70,53,0.00,0.00,5.2
2025-09-01T06:00,1,16.6,72,41,0.00,0.00,6.9
2025-09-01T07:00,1,16.3,73,49,0.00,0.00,7.6
2025-09-01T08:00,2,17.6,67,55,0.00,3600.00,6.9
2025-09-01T09:00,1,19.1,60,34,0.00,3600.00,7.3
2025-09-01T10:00,2,21.8,49,74,0.00,3600.00,7.0
2025-09-01T11:00,3,23.9,42,90,0.00,3600.00,8.0
2025-09-01T12:00,3,25.1,37,100,0.00,3600.00,11.3
2025-09-01T13:00,2,25.8,35,74,0.00,3600.00,13.9
2025-09-01T14:00,0,25.6,33,14,0.00,3600.00,15.1
2025-09-01T15:00,0,25.9,32,0,0.00,3600.00,15.6
2025-09-01T16:00,0,25.6,33,0,0.00,3600.00,16.2
2025-09-01T17:00,0,25.1,35,1,0.00,3600.00,16.4
2025-09-01T18:00,0,24.2,39,1,0.00,3600.00,15.3
2025-09-01T19:00,0,23.2,45,1,0.00,3600.00,12.5
2025-09-01T20:00,0,22.4,51,1,0.00,0.00,10.1
2025-09-01T21:00,0,21.3,55,3,0.00,0.00,5.9
2025-09-01T22:00,0,20.7,57,12,0.00,0.00,3.4
2025-09-01T23:00,0,20.3,59,19,0.00,0.00,3.1
2025-09-02T00:00,1,20.3,60,34,0.00,0.00,5.7
2025-09-02T01:00,1,19.9,62,39,0.00,0.00,5.6
2025-09-02T02:00,0,19.1,65,3,0.00,0.00,4.4
2025-09-02T03:00,0,18.3,68,0,0.00,0.00,4.6
2025-09-02T04:00,0,17.7,70,0,0.00,0.00,5.4
2025-09-02T05:00,0,17.1,74,0,0.00,0.00,4.8
2025-09-02T06:00,0,16.6,79,0,0.00,0.00,4.9
2025-09-02T07:00,0,16.4,84,0,0.00,0.00,6.5
2025-09-02T08:00,0,17.5,80,0,0.00,3600.00,5.6
2025-09-02T09:00,0,19.3,70,0,0.00,3600.00,6.3
